version,migration_name,classification,canonical_active_match,archived_path
20260610000200,event_zones,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260610000200_event_zones.sql
20260610000300,credentials,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260610000300_credentials.sql
20260618120000,fix_job_applications_status_check,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260618120000_fix_job_applications_status_check.sql
20260622220000,restore_artist_job_categories_public_read,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260622220000_restore_artist_job_categories_public_read.sql
20260622223000,restore_artist_jobs_rls_policies,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260622223000_restore_artist_jobs_rls_policies.sql
20260622224500,restore_artist_job_applications_rls_policies,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260622224500_restore_artist_job_applications_rls_policies.sql
20260625000000,polymorphic_hiring_entity,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260625000000_polymorphic_hiring_entity.sql
20260625010000,seed_global_staff_onboarding_templates,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260625010000_seed_global_staff_onboarding_templates.sql
20260625020000,staff_onboarding_storage_compliance,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260625020000_staff_onboarding_storage_compliance.sql
20260630120000,site_map_ops_live_fields,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260630120000_site_map_ops_live_fields.sql
20260630121000,site_map_rls_hardening,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260630121000_site_map_rls_hardening.sql
20260630211500,operations_work_mode_publications,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260630211500_operations_work_mode_publications.sql
20260630214500,logistics_team_communications_scope,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260630214500_logistics_team_communications_scope.sql
20260630220000,seed_admin_rbac_permissions,superseded_conflicting_variant,20260630231800_seed_admin_rbac_permissions.sql,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260630220000_seed_admin_rbac_permissions.sql
20260630230000,job_application_profile_snapshot,superseded_conflicting_variant,20260701021033_job_application_profile_snapshot.sql,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260630230000_job_application_profile_snapshot.sql
20260630230500,job_posting_wizard_fields,superseded_conflicting_variant,20260701000327_job_posting_wizard_fields.sql,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260630230500_job_posting_wizard_fields.sql
20260630231500,job_applications_nullable_venue,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260630231500_job_applications_nullable_venue.sql
20260630233000,polymorphic_hiring_nullable_venue,superseded_conflicting_variant,20260701022934_polymorphic_hiring_nullable_venue.sql,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260630233000_polymorphic_hiring_nullable_venue.sql
20260630234000,relax_hiring_approval_gate,superseded_conflicting_variant,20260701024346_relax_hiring_approval_gate.sql,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260630234000_relax_hiring_approval_gate.sql
20260630235000,hiring_onboarding_candidate_links,superseded_conflicting_variant,20260701032519_hiring_onboarding_candidate_links.sql,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260630235000_hiring_onboarding_candidate_links.sql
20260630236000,seed_base_onboarding_templates,invalid_timestamp_local_only,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260630236000_seed_base_onboarding_templates.sql
20260630237000,template_parent_lineage,invalid_timestamp_local_only,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260630237000_template_parent_lineage.sql
20260701000000,candidate_assignment_fields,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260701000000_candidate_assignment_fields.sql
20260702210503,account_aware_blog_publishing,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260702210503_account_aware_blog_publishing.sql
20260703001228,article_feed_linkage_and_article_updated_at,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260703001228_article_feed_linkage_and_article_updated_at.sql
20260704224927,marketplace_integrations_hardening,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260704224927_marketplace_integrations_hardening.sql
20260709194026,notifications_follow_request_hardening,superseded_conflicting_variant,20260709194210_notifications_follow_request_hardening.sql,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260709194026_notifications_follow_request_hardening.sql
20260709210518,worker_onboarding_profiles,superseded_conflicting_variant,20260709210901_worker_onboarding_profiles.sql,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260709210518_worker_onboarding_profiles.sql
20260709212151,staff_documents_nullable_legacy_venue_fks,superseded_conflicting_variant,20260709212251_staff_documents_nullable_legacy_venue_fks.sql,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260709212151_staff_documents_nullable_legacy_venue_fks.sql
20260709213511,staff_onboarding_candidates_submitted_status,superseded_conflicting_variant,20260709213620_staff_onboarding_candidates_submitted_status.sql,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260709213511_staff_onboarding_candidates_submitted_status.sql
20260710000000,perf_hiring_audit_employer_indexes,local_only_unapplied,,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260710000000_perf_hiring_audit_employer_indexes.sql
20260710013203,staff_onboarding_candidates_needs_revision,superseded_conflicting_variant,20260710013545_staff_onboarding_candidates_needs_revision.sql,supabase/migration-archive/pre-reconciliation-local-only-2026-08-20/20260710013203_staff_onboarding_candidates_needs_revision.sql
